old_name,new_name,Found,EQUAL,,,,,,,
Rock 'n' Ball (USA),Rock 'n' Ball (USA),Y,OK,,,,,,,
Roger Clemens' MVP Baseball (USA),Roger Clemens' MVP Baseball (USA),Y,OK,,,,,,,
Rollerblade Racer (USA),Rollerblade Racer (USA),Y,OK,,,,,,,
Roller_games,Rollergames (USA),N,NOK,,,,,,,
Rolling Thunder (USA) (Unl),Rolling Thunder (USA) (Unl),Y,OK,,,,,,,
Romance of the Three Kingdoms II (USA),Romance of the Three Kingdoms II (USA),Y,OK,,,,,,,
Romance of the Three Kingdoms (USA),Romance of the Three Kingdoms (USA),Y,OK,,,,,,,
ROM City Rampage (World) (Unl),ROM City Rampage (World) (Unl),Y,OK,,,,,,,
Roundball,Roundball - 2-on-2 Challenge (USA),Y,NOK,mv 'Roundball.nes' 'Roundball - 2-on-2 Challenge (USA).nes',,,,,,
Rush'n Attack (USA),Rush'n Attack (USA),Y,OK,,,,,,,
Rygar (USA),Rygar (USA),Y,OK,,,,,,,
SanrioCarnival2,notfound,N,NOK,,,,,,,
SanrioCup,notfound,N,NOK,,,,,,,
Scat,S.C.A.T. - Special Cybernetic Attack Team (USA),N,NOK,,,,,,,
SDSplatterHouse,notfound,N,NOK,,,,,,,
Section-Z (USA),Section-Z (USA),Y,OK,,,,,,,
Seicross (USA),Seicross (USA),Y,OK,,,,,,,
Shadowgate (USA),Shadowgate (USA),Y,OK,,,,,,,
Shatterhand (USA),Shatterhand (USA),Y,OK,,,,,,,
Shingen the Ruler (USA),Shingen the Ruler (USA),Y,OK,,,,,,,
Shinobi (USA) (Unl),Shinobi (USA) (Unl),Y,OK,,,,,,,
Shockwave (USA) (Unl),Shockwave (USA) (Unl),Y,OK,,,,,,,
ShortEgg,Short Order + Egg-Splode! (USA),N,NOK,,,,,,,
Side Pocket (USA),Side Pocket (USA),Y,OK,,,,,,,
Silent Assault (USA) (Unl),Silent Assault (USA) (Unl),Y,OK,,,,,,,
Silent Service (USA),Silent Service (USA),Y,OK,,,,,,,
Silk_worm,notfound,N,NOK,,,,,,,
Silver Surfer (USA),Silver Surfer (USA),Y,OK,,,,,,,
simpsons_bart_meets_radioactive_man,notfound,N,NOK,,,,,,,
simpsons_bart_vs_space_mutants,notfound,N,NOK,,,,,,,
simpsons_bart_vs_the_world,notfound,N,NOK,,,,,,,
Skate_or_die2,notfound,N,NOK,,,,,,,
Skate_or_die,notfound,N,NOK,,,,,,,
Skull & Crossbones (USA) (Unl),Skull & Crossbones (USA) (Unl),Y,OK,,,,,,,
Sky_kid,notfound,N,NOK,,,,,,,
Sky Shark (USA),Sky Shark (USA),Y,OK,,,,,,,
Slalom (USA),Slalom (USA),Y,OK,,,,,,,
Smash T.V. (USA),Smash T.V. (USA),Y,OK,,,,,,,
Snake Rattle n Roll (USA),Snake Rattle n Roll (USA),Y,OK,,,,,,,
Snake's Revenge (USA),Snake's Revenge (USA),Y,OK,,,,,,,
Snoopy's Silly Sports Spectacular! (USA),Snoopy's Silly Sports Spectacular! (USA),Y,OK,,,,,,,
Snow Brothers (USA),Snow Brothers (USA),Y,OK,,,,,,,
SoftballHeaven,notfound,N,NOK,,,,,,,
Solar_jetman,notfound,N,NOK,,,,,,,
Solbrain,notfound,N,NOK,,,,,,,
Solomon's Key (USA),Solomon's Key (USA),Y,OK,,,,,,,
Solstice,Solstice - The Quest for the Staff of Demnos (USA),Y,NOK,mv 'Solstice.nes' 'Solstice - The Quest for the Staff of Demnos (USA).nes',,,,,,
Spelunker (USA),Spelunker (USA),Y,OK,,,,,,,
Spider-Man-ReturnoftheSinisterSix,notfound,N,NOK,,,,,,,
Spiritual Warfare (USA) (Unl),Spiritual Warfare (USA) (Unl),Y,OK,,,,,,,
Spot,Spot - The Video Game (USA),Y,NOK,mv 'Spot.nes' 'Spot - The Video Game (USA).nes',,,,,,
Spy Hunter (USA),Super Spy Hunter (USA),Y,NOK,mv 'Spy Hunter (USA).nes' 'Super Spy Hunter (USA).nes',,,,,,
Spy_vs_spy,notfound,N,NOK,,,,,,,
Sqoon (USA),Sqoon (USA),Y,OK,,,,,,,
Stack-Up (World),Stack-Up (World),Y,OK,,,,,,,
Stanley,Stanley - The Search for Dr. Livingston (USA),Y,NOK,mv 'Stanley.nes' 'Stanley - The Search for Dr. Livingston (USA).nes',,,,,,
Star Force (USA),Star Force (USA),Y,OK,,,,,,,
Starship Hector (USA),Starship Hector (USA),Y,OK,,,,,,,
Star Soldier (USA),Star Soldier (USA),Y,OK,,,,,,,
Star_trek_25th_anniversary,notfound,N,NOK,,,,,,,
StarTrek,notfound,N,NOK,,,,,,,
StarTropics (USA),StarTropics (USA),Y,OK,,,,,,,
Star Voyager (USA),Star Voyager (USA),Y,OK,,,,,,,
Star Wars (USA),Star Wars (USA),Y,OK,,,,,,,
Stealth ATF (USA),Stealth ATF (USA),Y,OK,,,,,,,
Sted,notfound,N,NOK,,,,,,,
Stinger (USA),Stinger (USA),Y,OK,,,,,,,
Street Cop (USA),Street Cop (USA),Y,OK,,,,,,,
Street_fighter_2010,notfound,N,NOK,,,,,,,
Strider (USA),Strider (USA),Y,OK,,,,,,,
Super Cars (USA),Super Cars (USA),Y,OK,,,,,,,
Super C (USA),Super C (USA),Y,OK,,,,,,,
Super Dodge Ball (USA),Super Dodge Ball (USA),Y,OK,,,,,,,
Super Glove Ball (USA),Super Glove Ball (USA),Y,OK,,,,,,,
Superman (USA),Superman (USA),Y,OK,,,,,,,
Super Mario Bros. 2 (USA),Super Mario Bros. 2 (USA),Y,OK,,,,,,,
Super Mario Bros. 3 (USA),Super Mario Bros. 3 (USA),Y,OK,,,,,,,
SuperMarioBros-DuckHunt,notfound,N,NOK,,,,,,,
super_offroad,notfound,N,NOK,,,,,,,
Super Pitfall (USA),Super Pitfall (USA),Y,OK,,,,,,,
Super Spike V'Ball (USA),Super Spike V'Ball (USA),Y,OK,,,,,,,
Super Sprint (USA) (Unl),Super Sprint (USA) (Unl),Y,OK,,,,,,,
Super Spy Hunter (USA),Super Spy Hunter (USA),Y,OK,,,,,,,
Swamp Thing (USA),Swamp Thing (USA),Y,OK,,,,,,,
SweetHome,notfound,N,NOK,,,,,,,
Sword Master (USA),Sword Master (USA),Y,OK,,,,,,,
Swords and Serpents (USA),Swords and Serpents (USA),Y,OK,,,,,,,
Taboo,Taboo - The Sixth Sense (USA),Y,NOK,mv 'Taboo.nes' 'Taboo - The Sixth Sense (USA).nes',,,,,,
Tagin' Dragon (USA) (Unl),Tagin' Dragon (USA) (Unl),Y,OK,,,,,,,
TaleSpin (USA),TaleSpin (USA),Y,OK,,,,,,,
TargtRen,notfound,N,NOK,,,,,,,
T&C2,notfound,N,NOK,,,,,,,
t&c,notfound,N,NOK,,,,,,,
TechnosIceHockey,notfound,N,NOK,,,,,,,
TechnosSamurai,notfound,N,NOK,,,,,,,
Tecmo Bowl (USA),Tecmo Bowl (USA),Y,OK,,,,,,,
Tecmo_cup_soccer,notfound,N,NOK,,,,,,,
Tecmo NBA Basketball (USA),Tecmo NBA Basketball (USA),Y,OK,,,,,,,
Tecmo World Cup Soccer (Europe),Tecmo World Cup Soccer (Europe),Y,OK,,,,,,,
Tecmo World Wrestling (USA),Tecmo World Wrestling (USA),Y,OK,,,,,,,
Teenage_mutant_ninja_turtles2,notfound,N,NOK,,,,,,,
Teenage_mutant_ninja_turtles3,notfound,N,NOK,,,,,,,
Teenage Mutant Ninja Turtles (USA),Teenage Mutant Ninja Turtles (USA),Y,OK,,,,,,,
Terminator_2_judgement_day,notfound,N,NOK,,,,,,,
Terra Cresta (USA),Terra Cresta (USA),Y,OK,,,,,,,
Tetrastar,notfound,N,NOK,,,,,,,
Tetris 2 (USA),Tetris 2 (USA),Y,OK,,,,,,,
Tetris (USA),Tetris (USA),Y,OK,,,,,,,
Thunderbirds (USA),Thunderbirds (USA),Y,OK,,,,,,,
Time Lord (USA),Time Lord (USA),Y,OK,,,,,,,
Tiny_toon_adventures2,notfound,N,NOK,,,,,,,
Tiny Toon Adventures Cartoon Workshop (USA),Tiny Toon Adventures Cartoon Workshop (USA),Y,OK,,,,,,,
Tiny Toon Adventures (USA),Tiny Toon Adventures (USA),Y,OK,,,,,,,
Toki (USA),Toki (USA),Y,OK,,,,,,,
Tombs & Treasure (USA),Tombs & Treasure (USA),Y,OK,,,,,,,
Tom & Jerry - The Ultimate Game of Cat and Mouse! (USA),Tom & Jerry - The Ultimate Game of Cat and Mouse! (USA),Y,OK,,,,,,,
Toobin' (USA) (Unl),Toobin' (USA) (Unl),Y,OK,,,,,,,
Top_gun2,notfound,N,NOK,,,,,,,
Top Gun (USA),Top Gun (USA),Y,OK,,,,,,,
Totally Rad (USA),Totally Rad (USA),Y,OK,,,,,,,
Toxic Crusaders (USA),Toxic Crusaders (USA),Y,OK,,,,,,,
Treasure Master (USA),Treasure Master (USA),Y,OK,,,,,,,
Trog! (USA),Trog! (USA),Y,OK,,,,,,,
Trojan (USA),Trojan (USA),Y,OK,,,,,,,
TwinBee3,notfound,N,NOK,,,,,,,
Ultimate_stuntman,notfound,N,NOK,,,,,,,
Uncharted Waters (USA),Uncharted Waters (USA),Y,OK,,,,,,,
Uninvited (USA),Uninvited (USA),Y,OK,,,,,,,
Untouchables,"Untouchables, The (USA)",Y,NOK,"mv 'Untouchables.nes' 'Untouchables, The (USA).nes'",,,,,,
Urban Champion (World),Urban Champion (World),Y,OK,,,,,,,
VenusWr,notfound,N,NOK,,,,,,,
Wacky Races (USA),Wacky Races (USA),Y,OK,,,,,,,
Wario's Woods (USA),Wario's Woods (USA),Y,OK,,,,,,,
Wayne's World (USA),Wayne's World (USA),Y,OK,,,,,,,
Werewolf,Werewolf - The Last Warrior (USA),Y,NOK,mv 'Werewolf.nes' 'Werewolf - The Last Warrior (USA).nes',,,,,,
where's_waldo,notfound,N,NOK,,,,,,,
WherTime,notfound,N,NOK,,,,,,,
Who Framed Roger Rabbit (USA),Who Framed Roger Rabbit (USA),Y,OK,,,,,,,
Whomp 'Em (USA),Whomp 'Em (USA),Y,OK,,,,,,,
Widget (USA),Widget (USA),Y,OK,,,,,,,
Wild Gunman (World),Wild Gunman (World),Y,OK,,,,,,,
Willow (USA),Willow (USA),Y,OK,,,,,,,
Winter Games (USA),Winter Games (USA),Y,OK,,,,,,,
wizards_n_warriors3,notfound,N,NOK,,,,,,,
Wolverine (USA),Wolverine (USA),Y,OK,,,,,,,
World_championship_wrestling,notfound,N,NOK,,,,,,,
World Games (USA),World Games (USA),Y,OK,,,,,,,
Wrath of the Black Manta (USA),Wrath of the Black Manta (USA),Y,OK,,,,,,,
Wrecking Crew (World),Wrecking Crew (World),Y,OK,,,,,,,
Wurm,Wurm - Journey to the Center of the Earth! (USA),Y,NOK,mv 'Wurm.nes' 'Wurm - Journey to the Center of the Earth! (USA).nes',,,,,,
Xevious,Xevious - The Avenger (USA),Y,NOK,mv 'Xevious.nes' 'Xevious - The Avenger (USA).nes',,,,,,
Xexyz (USA),Xexyz (USA),Y,OK,,,,,,,
Yo! Noid (USA),Yo! Noid (USA),Y,OK,,,,,,,
Yoshi's Cookie (USA),Yoshi's Cookie (USA),Y,OK,,,,,,,
Yoshi (USA),Yoshi (USA),Y,OK,,,,,,,
"Young Indiana Jones Chronicles, The (USA)","Young Indiana Jones Chronicles, The (USA)",Y,OK,,,,,,,
Ys2,notfound,N,NOK,,,,,,,
Ys,notfound,N,NOK,,,,,,,
Zelda2,notfound,N,NOK,,,,,,,
zen_intergalactic_ninja,notfound,N,NOK,,,,,,,
zoda's_revenge,notfound,N,NOK,,,,,,,
Zombie Nation (USA),Zombie Nation (USA),Y,OK,,,,,,,
