old_name,new_name,Found,EQUAL,,,,,,,
castlevania3,Castlevania III - Dracula&apos;s Curse (USA),N,NOK,,,,,,,
Castlevania (USA),Castlevania (USA),Y,OK,,,,,,,
Caveman Games (USA),Caveman Games (USA),Y,OK,,,,,,,
ChalPebl,notfound,N,NOK,,,,,,,
Chase_hq,Chase (World) (Unl),N,NOK,,,,,,,
Chip & Dale 2,Chip &apos;n Dale - Rescue Rangers 2 (USA),N,NOK,,,,,,,
Chip & Dale,Chip &apos;n Dale - Rescue Rangers (USA),N,NOK,,,,,,,
ChoujinSentai-Jetman,notfound,N,NOK,,,,,,,
ChrnRad,notfound,N,NOK,,,,,,,
ChukaTaisen,notfound,N,NOK,,,,,,,
Circus Caper (USA),Circus Caper (USA),Y,OK,,,,,,,
City Connection (USA),City Connection (USA),Y,OK,,,,,,,
Clash at Demonhead (USA),Clash at Demonhead (USA),Y,OK,,,,,,,
Cobra Command (USA),Cobra Command (USA),Y,OK,,,,,,,
Cobra Triangle (USA),Cobra Triangle (USA),Y,OK,,,,,,,
Cocoron,notfound,N,NOK,,,,,,,
CodeVipr,Code Name - Viper (USA),N,NOK,,,,,,,
Conquest of the Crystal Palace (USA),Conquest of the Crystal Palace (USA),Y,OK,,,,,,,
Contra Force (USA),Contra Force (USA),Y,OK,,,,,,,
Contra (USA),Contra (USA),Y,OK,,,,,,,
Cool World (USA),Cool World (USA),Y,OK,,,,,,,
CosmoPolice,Cosmos Cop (Spain) (Unl),N,NOK,,,,,,,
Cowboy Kid (USA),Cowboy Kid (USA),Y,OK,,,,,,,
CrashBoy,Crash &apos;n&apos; the Boys - Street Challenge (USA),N,NOK,,,,,,,
Crash_dummies,"Incredible Crash Dummies, The (USA)",N,NOK,,,,,,,
Crystalis (USA),Crystalis (USA),Y,OK,,,,,,,
Danny Sullivan's Indy Heat (USA),Danny Sullivan's Indy Heat (USA),Y,OK,,,,,,,
Darkman (USA),Darkman (USA),Y,OK,,,,,,,
Darkwing Duck (USA),Darkwing Duck (USA),Y,OK,,,,,,,
Dash Galaxy in the Alien Asylum (USA),Dash Galaxy in the Alien Asylum (USA),Y,OK,,,,,,,
Day Dreamin' Davey (USA),Day Dreamin' Davey (USA),Y,OK,,,,,,,
DeepDungeon4,notfound,N,NOK,,,,,,,
Deja Vu (USA),Deja Vu (USA),Y,OK,,,,,,,
Demon Sword - Release the Power (USA),Demon Sword - Release the Power (USA),Y,OK,,,,,,,
DestEm2,Destiny of an Emperor (USA),N,NOK,,,,,,,
Destiny of an Emperor (USA),Destiny of an Emperor (USA),Y,OK,,,,,,,
Dig Dug II - Trouble in Paradise (USA),Dig Dug II - Trouble in Paradise (USA),Y,OK,,,,,,,
Digger,Digger - The Legend of the Lost City (USA),Y,NOK,mv 'Digger.nes' 'Digger - The Legend of the Lost City (USA).nes',,,,,,
Dizzy the Adventurer (USA) (Unl),Dizzy the Adventurer (USA) (Unl),Y,OK,,,,,,,
Donkey Kong 3 (World),Donkey Kong 3 (World),Y,OK,,,,,,,
"Donkey Kong Classics (USA, Europe)","Donkey Kong Classics (USA, Europe)",Y,OK,,,,,,,
"Donkey Kong Jr. Math (USA, Europe)","Donkey Kong Jr. Math (USA, Europe)",Y,OK,,,,,,,
Donkey Kong (World),Donkey Kong (World),Y,OK,,,,,,,
Doraemn,notfound,N,NOK,,,,,,,
Double Dragon 2,Double Dragon II - The Revenge (USA),N,NOK,,,,,,,
Double Dragon 3,Double Dragon III - The Sacred Stones (USA),N,NOK,,,,,,,
Dragon Fighter (USA),Dragon Fighter (USA),Y,OK,,,,,,,
Dragon's Lair (USA),Dragon's Lair (USA),Y,OK,,,,,,,
Dragon_spirit,Dragon Spirit - The New Legend (USA),N,NOK,,,,,,,
Dragon_strike,notfound,N,NOK,,,,,,,
Dragon Warrior III (USA),Dragon Warrior III (USA),Y,OK,,,,,,,
Dragon Warrior II (USA),Dragon Warrior II (USA),Y,OK,,,,,,,
Dragon Warrior IV (USA),Dragon Warrior IV (USA),Y,OK,,,,,,,
Dragon Warrior (USA),Dragon Warrior (USA),Y,OK,,,,,,,
"Dr. Mario (Japan, USA)","Dr. Mario (Japan, USA)",Y,OK,,,,,,,
DuckTales 2 (USA),DuckTales 2 (USA),Y,OK,,,,,,,
DuckTales (USA),DuckTales (USA),Y,OK,,,,,,,
DunMagic,notfound,N,NOK,,,,,,,
Dusty Diamond's All-Star Softball (USA),Dusty Diamond's All-Star Softball (USA),Y,OK,,,,,,,
Dynowarz,Dynowarz - Destruction of Spondylus (USA),Y,NOK,mv 'Dynowarz.nes' 'Dynowarz - Destruction of Spondylus (USA).nes',,,,,,
EartBnd0,Earth Bound (USA) (Proto),N,NOK,,,,,,,
Elevator Action (USA),Elevator Action (USA),Y,OK,,,,,,,
ElimBoat,Eliminator Boat Duel (USA),N,NOK,,,,,,,
Empire_strikes_back,Star Wars - The Empire Strikes Back (USA),N,NOK,,,,,,,
"Excitebike (Japan, USA)","Excitebike (Japan, USA)",Y,OK,,,,,,,
exodus,Ultima - Exodus (USA),N,NOK,,,,,,,
F15_city_war,F15 City War (USA) (Unl),N,NOK,,,,,,,
Fantasy Zone (USA) (Unl),Fantasy Zone (USA) (Unl),Y,OK,,,,,,,
